Year,Country Name,Country Code,GDP,GDP_per_capita
2020,Afghanistan,AFG,20621957125.2077,510.787063366811
2021,Afghanistan,AFG,16345202562.5485,356.496214115892
2022,Afghanistan,AFG,15325233810.1388,357.261152798144
2023,Afghanistan,AFG,15672648238.1005,413.757894705303
2024,Afghanistan,AFG,15672648238.1005,413.757894705303
2020,Africa Eastern and Southern,AFE,960921818200.308,1344.10320999294
2021,Africa Eastern and Southern,AFE,1004774139530.6,1522.3933455926
2022,Africa Eastern and Southern,AFE,1040501584765.5,1628.31894446307
2023,Africa Eastern and Southern,AFE,1060180668102.31,1568.15989105305
2024,Africa Eastern and Southern,AFE,1089513786376.87,1673.84113878039
2020,Africa Western and Central,AFW,839187420911.066,1680.03933212698
2021,Africa Western and Central,AFW,873006676542.313,1765.9547879785
2022,Africa Western and Central,AFW,907708373678.866,1796.66863273368
2023,Africa Western and Central,AFW,938189102818.499,1599.39298291654
2024,Africa Western and Central,AFW,977368845048.542,1284.15444092323
2020,Albania,ALB,12593390460.142,5370.77749956875
2021,Albania,ALB,13722964212.462,6413.28280828537
2022,Albania,ALB,14385329993.5341,6846.42669381643
2023,Albania,ALB,14951625324.0189,8575.17134637222
2024,Albania,ALB,15543966722.0707,10011.6279856667
2020,Algeria,DZA,192185826737.373,3743.5419522929
2021,Algeria,DZA,199488888151.485,4160.55926736925
2022,Algeria,DZA,206670488126.832,4961.55257664733
2023,Algeria,DZA,215143978140.155,5364.02795022731
2024,Algeria,DZA,222243729417.481,5631.17999109851
2020,Andorra,AND,2672445970.88657,37361.0900666982
2021,Andorra,AND,2893905656.78942,42425.6996756291
2022,Andorra,AND,3170696511.92972,42414.0590092117
2023,Andorra,AND,3252613194.16191,46812.4484486309
2024,Andorra,AND,3362285466.98151,49303.6733899464
2020,Angola,AGO,81399194250.7301,1449.92286669308
2021,Angola,AGO,82375341952.5616,1925.87466082167
2022,Angola,AGO,84883445838.1604,2929.69445467272
2023,Angola,AGO,85798573860.0521,2309.53413042773
2024,Angola,AGO,89594220855.2482,2122.08368991872
2020,Antigua and Barbuda,ATG,1373179832.3414,15369.6082250401
2021,Antigua and Barbuda,ATG,1485407940.31841,17348.6006987182
2022,Antigua and Barbuda,ATG,1620696017.30498,20105.1989085164
2023,Antigua and Barbuda,ATG,1660036192.7894,21494.5474000727
2024,Antigua and Barbuda,ATG,1731874615.11616,23725.7903725506
2020,Arab World,ARB,2687572213332.37,5722.48099531674
2021,Arab World,ARB,2805948372942.77,6681.70895180141
2022,Arab World,ARB,3002236073160.15,7931.61789279006
2023,Arab World,ARB,3047400367624.41,7479.68809103279
2024,Arab World,ARB,3094602134703.2,7521.15330929761
2020,Argentina,ARG,514874343768.066,8535.59938004389
2021,Argentina,ARG,568636554720.066,10738.0179223384
2022,Argentina,ARG,598603016935.287,13935.6811110049
2023,Argentina,ARG,588959512629.692,14187.4827252965
2024,Argentina,ARG,578834679333.011,13858.2039802008
2020,Armenia,ARM,11941035821.9185,4268.68093304583
2021,Armenia,ARM,12633615899.6682,4685.17997128509
2022,Armenia,ARM,14225451502.9981,6571.97445545099
2023,Armenia,ARM,15406163977.6894,8125.27395754003
2024,Armenia,ARM,16315127652.4443,8500.60522486719
2020,Aruba,ABW,2383266968.91162,22855.9323200761
2021,Aruba,ABW,2958411905.44105,27200.0610793969
2022,Aruba,ABW,3210407008.76028,30559.5335346581
2023,Aruba,ABW,3347289755.67821,33984.7906198041
2024,Aruba,ABW,3347289755.67821,33984.7906198041
2020,Australia,AUS,1491062566266.52,51791.540179984
2021,Australia,AUS,1522541404227.63,60607.7788605166
2022,Australia,AUS,1587133480804.53,64997.0136536475
2023,Australia,AUS,1641762491418.85,64835.9199754535
2024,Australia,AUS,1665257959985.0,64407.484256932
2020,Austria,AUT,387247796560.501,48716.4098900349
2021,Austria,AUT,405817601897.046,53648.7190742245
2022,Austria,AUT,427236226728.298,52176.6649141178
2023,Austria,AUT,423156280851.067,56033.573792065
2024,Austria,AUT,418190370366.673,56833.1960472053
2020,Azerbaijan,AZE,51348755377.7597,4229.91064904503
2021,Azerbaijan,AZE,54232727552.2244,5408.04535175023
2022,Azerbaijan,AZE,56789627316.8954,7770.594223351
2023,Azerbaijan,AZE,57558829937.6264,7133.02838048328
2024,Azerbaijan,AZE,59902281351.5774,7283.83562954872
2020,"Bahamas, The",BHS,9814098450.91068,26178.7537607708
2021,"Bahamas, The",BHS,11540093873.1804,30367.8605757708
2022,"Bahamas, The",BHS,12795362392.8778,34957.1613279737
2023,"Bahamas, The",BHS,13185464197.9178,38231.774484278
2024,"Bahamas, The",BHS,13630935977.0689,39455.4466548546
2020,Bahrain,BHR,34724774104.3146,24342.8444554718
2021,Bahrain,BHR,36235315986.0804,27147.8083882286
2022,Bahrain,BHR,38474716945.1891,30470.5219276023
2023,Bahrain,BHR,39966811156.113,29290.1284215098
2024,Bahrain,BHR,41172709122.6258,30048.2177718844
2020,Bangladesh,BGD,266852772253.895,2248.85078828233
2021,Bangladesh,BGD,285368829855.224,2482.84917843357
2022,Bangladesh,BGD,305629528154.311,2716.48592780431
2023,Bangladesh,BGD,323279976841.364,2551.01773827307
2024,Bangladesh,BGD,336932927922.21,2593.41607390407
2020,Barbados,BRB,4554114648.02364,18347.1109131055
2021,Barbados,BRB,4542503209.52524,18696.7858952957
2022,Barbados,BRB,5352561584.79213,22164.0260273876
2023,Barbados,BRB,5571685827.33474,23804.0249914995
2024,Barbados,BRB,5783409906.54532,25365.7949424181
2020,Belarus,BLR,58643356621.6418,6542.85579976768
2021,Belarus,BLR,60073587234.5107,7489.71894713888
2022,Belarus,BLR,57275121700.3422,7994.64806074889
2023,Belarus,BLR,59638602548.3294,7896.75388295584
2024,Belarus,BLR,62030020172.7382,8316.64776291533
2020,Belgium,BEL,470417598101.755,45906.2875805246
2021,Belgium,BEL,499619240040.636,51658.238294958
2022,Belgium,BEL,520899825783.061,50822.2518538518
2023,Belgium,BEL,527159436181.933,54690.0942734964
2024,Belgium,BEL,532530656429.071,55954.6106261018
2020,Belize,BLZ,1955575509.71701,5227.19363786168
2021,Belize,BLZ,2302615266.50756,6122.61158580079
2022,Belize,BLZ,2524886205.2506,7068.45478269722
2023,Belize,BLZ,2553897572.45142,7459.99815132837
2024,Belize,BLZ,2762085934.95625,8429.67959707387
2020,Benin,BEN,14725558723.2985,1200.19426631122
2021,Benin,BEN,15779238957.3117,1318.65158107487
2022,Benin,BEN,16765906414.7949,1266.42710981159
2023,Benin,BEN,17831007125.9788,1394.17784663045
2024,Benin,BEN,19159972710.8241,1485.38018980894
2020,Bermuda,BMU,6373786302.28159,106976.546239632
2021,Bermuda,BMU,6667453991.67615,112765.08167306
2022,Bermuda,BMU,7099253361.41199,121613.939983629
2023,Bermuda,BMU,7448338953.24063,132604.439086216
2024,Bermuda,BMU,7605153959.3341,138934.958846463
2020,Bhutan,BTN,2380954251.4208,3191.66906999331
2021,Bhutan,BTN,2486224986.25084,3570.61257980872
2022,Bhutan,BTN,2615853471.18587,3711.32767981591
2023,Bhutan,BTN,2743574974.83879,3839.4093039286
2024,Bhutan,BTN,2743574974.83879,3839.4093039286
2020,Bolivia,BOL,34855949803.3644,3099.94219053514
2021,Bolivia,BOL,36986126802.9765,3384.84486462654
2022,Bolivia,BOL,38319728337.5714,3643.92826984604
2023,Bolivia,BOL,39500729033.6847,3686.27996442176
2024,Bolivia,BOL,40047688830.4291,4001.21133990795
2020,Bosnia and Herzegovina,BIH,18115912632.4361,6130.31133245161
2021,Bosnia and Herzegovina,BIH,19454671753.5435,7295.3438240957
2022,Bosnia and Herzegovina,BIH,20276983961.3676,7655.59421024383
2023,Bosnia and Herzegovina,BIH,20681387156.8456,8663.02322987879
2024,Bosnia and Herzegovina,BIH,21194295295.9242,8957.37294188215
2020,Botswana,BWA,14796887968.598,6323.29749806946
2021,Botswana,BWA,16560125447.6096,7807.88794500125
2022,Botswana,BWA,17468616755.5627,8328.70905682185
2023,Botswana,BWA,18029021881.095,7826.35376483298
2024,Botswana,BWA,17489977781.8862,7695.2420641819
2020,Brazil,BRA,1760056587795.46,7074.19378337644
2021,Brazil,BRA,1843881119920.2,7972.5366498646
2022,Brazil,BRA,1899505377558.02,9281.33334441234
2023,Brazil,BRA,1961080794855.6,10377.5892792557
2024,Brazil,BRA,2027676479714.69,10280.3148624429
2020,Brunei Darussalam,BRN,13429259999.6183,26834.3592463839
2021,Brunei Darussalam,BRN,13215632370.1015,31006.9636220576
2022,Brunei Darussalam,BRN,13000438059.9791,36632.9280421411
2023,Brunei Darussalam,BRN,13147036744.6471,32890.5492465722
2024,Brunei Darussalam,BRN,13699261291.4929,33417.8357740437
2020,Bulgaria,BGR,55357337083.979,10769.9475699414
2021,Bulgaria,BGR,59664478253.8097,12972.2173356002
2022,Bulgaria,BGR,62074193826.5485,13999.6719197289
2023,Bulgaria,BGR,63245418926.902,15883.8618545581
2024,Bulgaria,BGR,65023138713.8977,17412.4115085691
2020,Burkina Faso,BFA,15332394848.5201,825.237038782475
2021,Burkina Faso,BFA,16396850182.5889,895.535288442991
2022,Burkina Faso,BFA,16642350339.7932,836.118304593682
2023,Burkina Faso,BFA,17134994111.3648,882.689810086163
2024,Burkina Faso,BFA,17989191217.9315,987.321378101867
2020,Burundi,BDI,3218331064.79216,210.008139902508
2021,Burundi,BDI,3318099327.75908,214.091455416133
2022,Burundi,BDI,3379450965.7308,250.634225368744
2023,Burundi,BDI,3469531569.62627,192.074305359351
2024,Burundi,BDI,3590591566.67407,153.930217854023
2020,Cabo Verde,CPV,1675762033.71886,3539.22661248299
2021,Cabo Verde,CPV,1793627260.88123,3971.44409203423
2022,Cabo Verde,CPV,2077803747.08658,4323.31362032709
2023,Cabo Verde,CPV,2189821144.81553,4861.29184126229
2024,Cabo Verde,CPV,2349062342.91628,5272.85253011419
2020,Cambodia,KHM,31922812945.0881,2081.73914242939
2021,Cambodia,KHM,32909177695.6837,2167.40324198499
2022,Cambodia,KHM,34597385966.8205,2325.03050040841
2023,Cambodia,KHM,36329791405.1332,2429.74853452838
2024,Cambodia,KHM,38515324291.0221,2627.8796974226
2020,Cameroon,CMR,37599547048.5841,1555.60370660749
2021,Cameroon,CMR,38854942334.5769,1672.32657340872
2022,Cameroon,CMR,40306867605.1364,1604.87726954895
2023,Cameroon,CMR,41616173714.8732,1736.86091073524
2024,Cameroon,CMR,43143796434.6279,1762.3683508844
2020,Canada,CAN,1611126165625.03,43537.839298904
2021,Canada,CAN,1706996679677.69,52886.6616372703
2022,Canada,CAN,1778503389905.0,56256.8007264015
2023,Canada,CAN,1805692180594.62,54220.3285039875
2024,Canada,CAN,1833284621684.46,54282.6176051733
2020,Caribbean small states,CSS,55507079559.9414,11925.7573950011
2021,Caribbean small states,CSS,59103421605.5353,13833.3099303464
2022,Caribbean small states,CSS,67979666350.8331,17355.8366579795
2023,Caribbean small states,CSS,74103242039.828,17582.2636796878
2024,Caribbean small states,CSS,83991820136.3269,20173.9564746676
2020,Cayman Islands,CYM,5165012420.04968,82338.7982853661
2021,Cayman Islands,CYM,5418352633.41053,86438.445257404
2022,Cayman Islands,CYM,5697740750.963,92202.1478031576
2023,Cayman Islands,CYM,5946143784.57514,97749.5078960846
2024,Cayman Islands,CYM,5946143784.57514,97749.5078960846
2020,Central African Republic,CAF,2004791529.66202,462.879071294011
2021,Central African Republic,CAF,2024497026.49048,492.263142830507
2022,Central African Republic,CAF,2033686256.58477,467.359825026238
2023,Central African Republic,CAF,2047921417.53104,495.978897288721
2024,Central African Republic,CAF,2079451880.73432,516.170424537757
2020,Central Europe and the Baltics,CEB,1481155886225.71,16595.9352698049
2021,Central Europe and the Baltics,CEB,1578113488315.7,19239.8185020397
2022,Central Europe and the Baltics,CEB,1641816629620.64,19548.6930479638
2023,Central Europe and the Baltics,CEB,1654348256920.11,22699.5351734821
2024,Central Europe and the Baltics,CEB,1686828167631.51,24543.3040551654
2020,Chad,TCD,15239205317.8836,866.947814890409
2021,Chad,TCD,15284005406.1652,946.358500208374
2022,Chad,TCD,17255124958.5401,966.036468278568
2023,Chad,TCD,17965596410.3591,989.058528968588
2024,Chad,TCD,18622140346.8315,1016.08880662712
2020,Channel Islands,CHI,9748142610.59911,56785.9402005039
2021,Channel Islands,CHI,10716796179.0641,66912.1753241171
2022,Channel Islands,CHI,11289283294.6692,67627.3084478235
2023,Channel Islands,CHI,11708680835.5485,74589.1381155014
2024,Channel Islands,CHI,11708680835.5485,74589.1381155014
2020,Chile,CHL,245600606668.884,13114.815470545
2021,Chile,CHL,273390120031.28,16206.8325493421
2022,Chile,CHL,279278925615.692,15405.6165774073
2023,Chile,CHL,280734996501.051,17067.0364799154
2024,Chile,CHL,288158504434.814,16709.8893972307
2020,China,CHN,14920466234565.3,10627.4637989619
2021,China,CHN,16199162892908.6,12887.4357242941
2022,China,CHN,16706875253648.5,12970.6056414327
2023,China,CHN,17611526369126.6,12951.1782397043
2024,China,CHN,18488114837769.3,13303.1481543868
2020,Colombia,COL,298309675728.093,5339.68711357943
2021,Colombia,COL,330530695024.886,6222.62164397614
2022,Colombia,COL,354752900899.02,6680.44506854481
2023,Colombia,COL,357280089727.874,7000.83660501046
2024,Colombia,COL,363510345114.581,7913.98801464547
2020,Comoros,COM,1175888997.65107,1527.16990927956
2021,Comoros,COM,1207941361.73212,1587.72988601478
2022,Comoros,COM,1241985921.46684,1533.87755332151
2023,Comoros,COM,1280048596.62479,1682.20285095721
2024,Comoros,COM,1323426672.33943,1784.11546860293
2020,"Congo, Dem. Rep.",COD,45259708653.5116,507.521230077872
2021,"Congo, Dem. Rep.",COD,48065880294.8504,558.034077296358
2022,"Congo, Dem. Rep.",COD,52355494715.7899,642.612267148918
2023,"Congo, Dem. Rep.",COD,56862826231.0464,633.395661686298
2024,"Congo, Dem. Rep.",COD,60658948871.0797,647.435704836002
2020,"Congo, Rep.",COG,9926500702.40064,1993.586671931
2021,"Congo, Rep.",COG,10027261669.7995,2516.16255145432
2022,"Congo, Rep.",COG,10175199489.7639,2620.83804304713
2023,"Congo, Rep.",COG,10369226732.5707,2477.97845477092
2024,"Congo, Rep.",COG,10636718190.0486,2482.24894743495
2020,Costa Rica,CRI,61631202097.7581,12394.0493969354
2021,Costa Rica,CRI,66522107766.4702,12838.1185359009
2022,Costa Rica,CRI,69549856033.0671,13625.9008491478
2023,Costa Rica,CRI,73105190307.9487,16942.0268119304
2024,Costa Rica,CRI,76264229553.518,18587.1532203614
2020,Cote d'Ivoire,CIV,59423700880.6615,2179.72934832935
2021,Cote d'Ivoire,CIV,63620992438.4818,2455.98127626488
2022,Cote d'Ivoire,CIV,67692661917.0177,2333.37128334477
2023,Cote d'Ivoire,CIV,72059148622.0897,2554.67304885576
2024,Cote d'Ivoire,CIV,76346667965.1186,2709.89511641252
2020,Croatia,HRV,53017808755.2998,14808.4620188819
2021,Croatia,HRV,59714859477.6201,17789.9304736722
2022,Croatia,HRV,64066840476.8464,18466.0955472648
2023,Croatia,HRV,66182676637.3453,21865.4562838641
2024,Croatia,HRV,68707509493.9887,23931.4528382746
2020,Curacao,CUW,2308903004.87561,16356.0933254541
2021,Curacao,CUW,2405500855.35508,17979.9982909306
2022,Curacao,CUW,2596088688.12486,20501.7522782219
2023,Curacao,CUW,2705176334.79987,21061.741639092
2024,Curacao,CUW,2705176334.79987,21061.741639092
2020,Cyprus,CYP,24433464399.3925,28649.015625
2021,Cyprus,CYP,27215993570.0299,33734.03515625
2022,Cyprus,CYP,29176869929.2316,33894.44921875
2023,Cyprus,CYP,29983292283.1747,36551.41796875
2024,Cyprus,CYP,31017134702.0533,38654.16796875
2020,Czechia,CZE,205753475017.539,23472.8915454417
2021,Czechia,CZE,214043320221.167,27696.4619527544
2022,Czechia,CZE,220137498830.73,28282.2236715857
2023,Czechia,CZE,220015846842.127,31591.0568216357
2024,Czechia,CZE,222480870567.081,31706.6234229743
2020,Denmark,DNK,326176991232.295,60985.4885601514
2021,Denmark,DNK,350255593092.935,69727.9873677012
2022,Denmark,DNK,355650135426.456,68091.3191138669
2023,Denmark,DNK,364524261929.185,68453.8769281145
2024,Denmark,DNK,377924893185.309,71851.7562131368
2020,Djibouti,DJI,3065135713.11422,2844.88810647853
2021,Djibouti,DJI,3200221046.31128,3025.91126413549
2022,Djibouti,DJI,3365561651.66421,3133.25779772463
2023,Djibouti,DJI,3613673262.56462,3397.52015779588
2024,Djibouti,DJI,3828825224.95935,3496.47111876763
2020,Dominica,DMA,493481872.044211,7827.74842680426
2021,Dominica,DMA,520030399.241901,8376.40414141113
2022,Dominica,DMA,574096959.632995,9323.66089490562
2023,Dominica,DMA,595064186.903307,9912.96212766668
2024,Dominica,DMA,607279298.404095,10405.2787777582
2020,Dominican Republic,DOM,81415993438.0734,7135.22273255899
2021,Dominican Republic,DOM,92824351636.8768,8527.0754858205
2022,Dominican Republic,DOM,97686450823.9666,10104.2449349081
2023,Dominican Republic,DOM,99828029402.8707,10630.431743829
2024,Dominican Republic,DOM,104771210812.017,10875.6618443092
2020,Early-demographic dividend,EAR,11429059854628.2,3250.74974734387
2021,Early-demographic dividend,EAR,12286980106865.2,3765.51079786712
2022,Early-demographic dividend,EAR,13019308032115.2,4113.00084852322
2023,Early-demographic dividend,EAR,13619615419438.9,4322.18279373346
2024,Early-demographic dividend,EAR,14107532835813.9,4529.82686738144
2020,East Asia & Pacific,EAS,26616378301685.4,11595.2940923559
2021,East Asia & Pacific,EAS,28303786374948.2,13282.7636699758
2022,East Asia & Pacific,EAS,29150203066864.1,13084.2848090909
2023,East Asia & Pacific,EAS,30372749451495.6,13117.90954458
2024,East Asia & Pacific,EAS,31555644471372.1,13349.0833109152
2020,East Asia & Pacific (IDA & IBRD countries),TEA,17576382690506.0,8485.42025780464
2021,East Asia & Pacific (IDA & IBRD countries),TEA,18933189104502.4,10086.4785164265
2022,East Asia & Pacific (IDA & IBRD countries),TEA,19604430465360.1,10220.360503609
2023,East Asia & Pacific (IDA & IBRD countries),TEA,20634587930341.1,10239.674334039
2024,East Asia & Pacific (IDA & IBRD countries),TEA,21658601459281.0,10513.9755660123
2020,East Asia & Pacific (excluding high income),EAP,17598124771099.8,8391.36838432688
2021,East Asia & Pacific (excluding high income),EAP,18956664571163.5,9974.63640001599
2022,East Asia & Pacific (excluding high income),EAP,19628749418509.5,10106.8725194012
2023,East Asia & Pacific (excluding high income),EAP,20660196667673.4,10125.7668065643
2024,East Asia & Pacific (excluding high income),EAP,21685479497061.6,10396.8255168912
2020,Ecuador,ECU,93971273313.9152,5463.64515348598
2021,Ecuador,ECU,102825145845.295,6061.32350181711
2022,Ecuador,ECU,108859360917.986,6515.58528418336
2023,Ecuador,ECU,111023744250.546,6737.84748379638
2024,Ecuador,ECU,108801876280.216,6874.705739766
2020,"Egypt, Arab Rep.",EGY,412213064649.087,3511.11381026379
2021,"Egypt, Arab Rep.",EGY,425777537421.996,3827.35415374308
2022,"Egypt, Arab Rep.",EGY,453827104224.605,4233.30783744856
2023,"Egypt, Arab Rep.",EGY,470892276431.916,3456.78968456253
2024,"Egypt, Arab Rep.",EGY,482189779212.632,3338.47371395895
2020,El Salvador,SLV,23744951345.511,3997.19279583709
2021,El Salvador,SLV,26571731219.3539,4642.60743101342
2022,El Salvador,SLV,27356823619.6966,5074.60210221806
2023,El Salvador,SLV,28325024473.7907,5365.44491399171
2024,El Salvador,SLV,29062047321.2665,5579.65969165029
2020,Equatorial Guinea,GNQ,9569759527.14748,5764.05502912947
2021,Equatorial Guinea,GNQ,9652085293.25754,6945.63069794539
2022,Equatorial Guinea,GNQ,9963221065.40967,7589.29964909381
2023,Equatorial Guinea,GNQ,9456161986.86363,6677.793435386
2024,Equatorial Guinea,GNQ,9541952850.62711,6745.40013244916
2020,Estonia,EST,26519903136.8312,23933.9939421065
2021,Estonia,EST,28417255488.3023,27953.7670230126
2022,Estonia,EST,28434428182.5728,28451.1477825175
2023,Estonia,EST,27574844401.6353,30133.304450454
2024,Estonia,EST,27502872345.3324,31170.0915091887
2020,Eswatini,SWZ,4289130010.73364,3454.784217446
2021,Eswatini,SWZ,4436460293.19634,3966.29863253832
2022,Eswatini,SWZ,4486130488.61763,3889.65276959161
2023,Eswatini,SWZ,4640654280.34639,3741.69010745416
2024,Eswatini,SWZ,4763200252.14567,3936.10969242371
2020,Ethiopia,ETH,95071775811.9827,905.313159254148
2021,Ethiopia,ETH,100435279224.388,910.947887074508
2022,Ethiopia,ETH,105780203623.569,1011.07332413462
2023,Ethiopia,ETH,112755610463.007,1011.07332413462
2024,Ethiopia,ETH,121005590210.621,1011.07332413462
2020,Euro area,EMU,12007722379858.0,38234.5335889285
2021,Euro area,EMU,12771227094666.1,42967.2551656434
2022,Euro area,EMU,13223731356621.6,41446.4322827569
